title|url|category|S_Label
மோடியும், பழனிசாமியும் இருக்கும்வரை வேறு இடைத்தரகர் உருவாக முடியாது : சு.வெங்கடேசன் எம்.பி|https://www.puthiyathalaimurai.com/agriculture/no-other-mediator-can-emerge-in-india-as-long-as-modi-and-edappadi-exist--su-venkatesan|விவசாயம்|Neutral
"அர்ஜென்டினா| இடைவிடாது பெய்த கனமழை... குடியிருப்புகளை சூழ்ந்த வெள்ளம்!"|https://www.puthiyathalaimurai.com/world/heavy-rains-in-argentina-cause-flooding-inside-a-residence|உலகம்|Negative
Be Happy முதல் Moana 2 வரை இந்த வார லிஸ்ட் இதோ!|https://www.puthiyathalaimurai.com/cinema/ott-thiraiparvai/be-happy-to-moana-2-this-week-movie-list|ஓடிடி திரைப் பார்வை|Positive
இறுதிவரை பதறவைத்த வங்கதேசம்.. கடைசி பந்துவரை சீட் நுனியில் ரசிகர்கள்-இந்தியா த்ரில் வெற்றி|https://www.puthiyathalaimurai.com/sports/ind-vs-ban-scorecard-t20-world-cup-2022-india-edge-out-bangladesh-by-5-runs-in-thriller|விளையாட்டு|Neutral
ஆசிரியர்களை தாக்கும் மாணவர்கள்... வகுப்புக்குள் தலைதூக்கும் வன்முறைக்கு தீர்வுதான் என்ன?|https://www.puthiyathalaimurai.com/employment-news-in-tamil-latest-update/solution-to-the-violence-that-erupts-in-the-classroom-where-students-attacking-teachers|கல்வி|Negative
“உருவபொம்மை எரிப்பு, ரயில்மறியல்” - லக்கிம்பூர் சம்பவத்தை கண்டித்து போராட்டங்கள் அறிவிப்பு|https://www.puthiyathalaimurai.com/agriculture/burning-effigies-rail-roko-mahapanchayat-farmers-plans-to-protest-killings|விவசாயம்|Negative
கூகுள் கணினியைவிட 10 லட்சம் மடங்கு வேகம்.. சீனா அறிமுகம் செய்த புதிய கண்டுபிடிப்பு|https://www.puthiyathalaimurai.com/technology/china-makes-on-world-fastest-computer|டெக்|Positive
"இளையோர் மொழிக்களம் | வடிவேல் என்றால் நகைச்சுவை மட்டுந்தானா ?"|https://www.puthiyathalaimurai.com/lifestyle/literature/name-is-not-just-a-name|இலக்கியம்|Negative
"World Food Safety Day | உணவில் கலக்கும் மைக்ரோ ப்ளாஸ்டிக்- நஞ்சாக மாறும் அபாயம்; கொஞ்சம் யோசிக்கலாமே"|https://www.puthiyathalaimurai.com/lifestyle/avoid-plastic-in-food-from-this-world-food-safety-day|லைஃப்ஸ்டைல்|Neutral
நடிகை ஹனி ரோஸ் கொடுத்த பாலியல் புகாரில் கைது செய்யப்பட்ட பாபி செம்மனூர் யார்? இவரின் பின்னணி என்ன?|https://www.puthiyathalaimurai.com/trending/bobby-semmanur-background|டிரெண்டிங்|Neutral
புதிய தலைமுறை Live Updates - February 11, 2024|https://www.puthiyathalaimurai.com/trending/live-updates/live-updates-february-11-2024|live updates|Neutral
"4 வசனம்.. 4 சம்பவம்.. - தனுஷ் பகிர்ந்த விஷயம் | Dhanush | Idly Kadai"|https://www.puthiyathalaimurai.com/cinema/tamil-cinema-news/dhanush-said-about-his-initial-days-of-struggle|கோலிவுட் செய்திகள்|Neutral
நங்கநல்லூர் மெட்ரோ ரயில் நிலைய பெயர் மாற்றம்!|https://www.puthiyathalaimurai.com/features/nanganallur-metro-station-renamed-as-ota-nanganallur-railway-station|சிறப்புக் களம்|Neutral
கருப்புப் பூஞ்சை: அறிகுறிகள், ஆபத்துகள், தவிர்க்கும் வழிமுறைகள் - A டூ Z தகவல்கள்|https://www.puthiyathalaimurai.com/features/doctor-explain-about-mucormycosis-symptoms-treatment-prevention-causes|சிறப்புக் களம்|Neutral
