title,cleaned_title,tokenized_title,processed_title,category,sentiment,url
"மோடியும், பழனிசாமியும் இருக்கும்வரை வேறு இடைத்தரகர் உருவாக முடியாது : சு.வெங்கடேசன் எம்.பி",மோடியும் பழனிசாமியும் இருக்கும்வரை வேறு இடைத்தரகர் உருவாக முடியாது சு வெங்கடேசன் எம் பி,மோடியும் பழனிசாமியும் இருக்கும்வரை வேறு இடைத்தரகர் உருவாக முடியாது சு வெங்கடேசன் எம் பி,மோடியும் பழனிசாமியும் இடைத்தரகர் உருவாக முடியாது சு வெங்கடேசன் எம் பி,விவசாயம்,Neutral,https://www.puthiyathalaimurai.com/agriculture/no-other-mediator-can-emerge-in-india-as-long-as-modi-and-edappadi-exist--su-venkatesan
அர்ஜென்டினா| இடைவிடாது பெய்த கனமழை... குடியிருப்புகளை சூழ்ந்த வெள்ளம்!,அர்ஜென்டினா இடைவிடாது பெய்த கனமழை குடியிருப்புகளை சூழ்ந்த வெள்ளம்,அர்ஜென்டினா இடைவிடாது பெய்த கனமழை குடியிருப்புகளை சூழ்ந்த வெள்ளம்,அர்ஜென்டினா இடைவிடாது பெய்த கனமழை குடியிருப்பு சூழ் வெள்ளம்,உலகம்,Negative,https://www.puthiyathalaimurai.com/world/heavy-rains-in-argentina-cause-flooding-inside-a-residence
Be Happy முதல் Moana 2 வரை இந்த வார லிஸ்ட் இதோ!,முதல் வரை இந்த வார லிஸ்ட் இதோ,முதல் வரை இந்த வார லிஸ்ட் இதோ,வார லிஸ்ட் இதோ,ஓடிடி திரைப் பார்வை,Positive,https://www.puthiyathalaimurai.com/cinema/ott-thiraiparvai/be-happy-to-moana-2-this-week-movie-list
இறுதிவரை பதறவைத்த வங்கதேசம்.. கடைசி பந்துவரை சீட் நுனியில் ரசிகர்கள்-இந்தியா த்ரில் வெற்றி,இறுதிவரை பதறவைத்த வங்கதேசம் கடைசி பந்துவரை சீட் நுனியில் ரசிகர்கள் இந்தியா த்ரில் வெற்றி,இறுதிவரை பதறவைத்த வங்கதேசம் கடைசி பந்துவரை சீட் நுனியில் ரசிகர்கள் இந்தியா த்ரில் வெற்றி,இறுதி பதறவை வங்கதேசம் கடைசி பந்து சீட் நுனியில் ரசிகர் இந்தியா த்ரில் வெற்றி,விளையாட்டு,Neutral,https://www.puthiyathalaimurai.com/sports/ind-vs-ban-scorecard-t20-world-cup-2022-india-edge-out-bangladesh-by-5-runs-in-thriller
ஆசிரியர்களை தாக்கும் மாணவர்கள்... வகுப்புக்குள் தலைதூக்கும் வன்முறைக்கு தீர்வுதான் என்ன?,ஆசிரியர்களை தாக்கும் மாணவர்கள் வகுப்புக்குள் தலைதூக்கும் வன்முறைக்கு தீர்வுதான் என்ன,ஆசிரியர்களை தாக்கும் மாணவர்கள் வகுப்புக்குள் தலைதூக்கும் வன்முறைக்கு தீர்வுதான் என்ன,ஆசிரியர் தாக்கும் மாணவர் வகுப்புக்குள் தலைதூக்கும் வன்முறை தீர்வுதான்,கல்வி,Negative,https://www.puthiyathalaimurai.com/employment-news-in-tamil-latest-update/solution-to-the-violence-that-erupts-in-the-classroom-where-students-attacking-teachers
"“உருவபொம்மை எரிப்பு, ரயில்மறியல்” - லக்கிம்பூர் சம்பவத்தை கண்டித்து போராட்டங்கள் அறிவிப்பு",“உருவபொம்மை எரிப்பு ரயில்மறியல்” லக்கிம்பூர் சம்பவத்தை கண்டித்து போராட்டங்கள் அறிவிப்பு,“உருவபொம்மை எரிப்பு ரயில்மறியல்” லக்கிம்பூர் சம்பவத்தை கண்டித்து போராட்டங்கள் அறிவிப்பு,“உருவபொம்மை எரிப்பு ரயில்மறியல்” லக்கிம்பூர் சம்பவத்தை கண்டித்து போராட்டங் அறிவிப்பு,விவசாயம்,Negative,https://www.puthiyathalaimurai.com/agriculture/burning-effigies-rail-roko-mahapanchayat-farmers-plans-to-protest-killings
கூகுள் கணினியைவிட 10 லட்சம் மடங்கு வேகம்.. சீனா அறிமுகம் செய்த புதிய கண்டுபிடிப்பு,கூகுள் கணினியைவிட லட்சம் மடங்கு வேகம் சீனா அறிமுகம் செய்த புதிய கண்டுபிடிப்பு,கூகுள் கணினியைவிட லட்சம் மடங்கு வேகம் சீனா அறிமுகம் செய்த புதிய கண்டுபிடிப்பு,கூகுள் கணினியைவிட லட்சம் மடங் வேகம் சீனா அறிமுகம் புதிய கண்டுபிடிப்பு,டெக்,Positive,https://www.puthiyathalaimurai.com/technology/china-makes-on-world-fastest-computer
இளையோர் மொழிக்களம் | வடிவேல் என்றால் நகைச்சுவை மட்டுந்தானா ?,இளையோர் மொழிக்களம் வடிவேல் என்றால் நகைச்சுவை மட்டுந்தானா,இளையோர் மொழிக்களம் வடிவேல் என்றால் நகைச்சுவை மட்டுந்தானா,இளையோர் மொழிக்களம் வடிவேல் என்றால் நகைச்சுவை மட்டுந்தானா,இலக்கியம்,Negative,https://www.puthiyathalaimurai.com/lifestyle/literature/name-is-not-just-a-name
World Food Safety Day | உணவில் கலக்கும் மைக்ரோ ப்ளாஸ்டிக்- நஞ்சாக மாறும் அபாயம்; கொஞ்சம் யோசிக்கலாமே,உணவில் கலக்கும் மைக்ரோ ப்ளாஸ்டிக் நஞ்சாக மாறும் அபாயம் கொஞ்சம் யோசிக்கலாமே,உணவில் கலக்கும் மைக்ரோ ப்ளாஸ்டிக் நஞ்சாக மாறும் அபாயம் கொஞ்சம் யோசிக்கலாமே,உணவில் கலக்கும் மைக்ரோ ப்ளாஸ்டிக் நஞ்சாக மாறும் அபாயம் கொஞ்சம் யோசிக்கலாமே,லைஃப்ஸ்டைல்,Neutral,https://www.puthiyathalaimurai.com/lifestyle/avoid-plastic-in-food-from-this-world-food-safety-day
நடிகை ஹனி ரோஸ் கொடுத்த பாலியல் புகாரில் கைது செய்யப்பட்ட பாபி செம்மனூர் யார்? இவரின் பின்னணி என்ன?,நடிகை ஹனி ரோஸ் கொடுத்த பாலியல் புகாரில் கைது செய்யப்பட்ட பாபி செம்மனூர் யார் இவரின் பின்னணி என்ன,நடிகை ஹனி ரோஸ் கொடுத்த பாலியல் புகாரில் கைது செய்யப்பட்ட பாபி செம்மனூர் யார் இவரின் பின்னணி என்ன,நடிகை ஹனி ரோஸ் கொடு பாலியல் புகாரில் கைது செய்யப்ப பாபி செம்மனூர் இவரின் பின்னணி,டிரெண்டிங்,Neutral,https://www.puthiyathalaimurai.com/trending/bobby-semmanur-background
"புதிய தலைமுறை Live Updates - February 11, 2024",புதிய தலைமுறை,புதிய தலைமுறை,புதிய தலைமுறை,live updates,Neutral,https://www.puthiyathalaimurai.com/trending/live-updates/live-updates-february-11-2024
4 வசனம்.. 4 சம்பவம்.. - தனுஷ் பகிர்ந்த விஷயம் | Dhanush | Idly Kadai,வசனம் சம்பவம் தனுஷ் பகிர்ந்த விஷயம்,வசனம் சம்பவம் தனுஷ் பகிர்ந்த விஷயம்,வசனம் சம்பவம் தனுஷ் பகிர் விஷயம்,கோலிவுட் செய்திகள்,Neutral,https://www.puthiyathalaimurai.com/cinema/tamil-cinema-news/dhanush-said-about-his-initial-days-of-struggle
நங்கநல்லூர் மெட்ரோ ரயில் நிலைய பெயர் மாற்றம்!,நங்கநல்லூர் மெட்ரோ ரயில் நிலைய பெயர் மாற்றம்,நங்கநல்லூர் மெட்ரோ ரயில் நிலைய பெயர் மாற்றம்,நங்கநல்லூர் மெட்ரோ ரயில் நிலைய பெயர் மாற்றம்,சிறப்புக் களம்,Neutral,https://www.puthiyathalaimurai.com/features/nanganallur-metro-station-renamed-as-ota-nanganallur-railway-station
"கருப்புப் பூஞ்சை: அறிகுறிகள், ஆபத்துகள், தவிர்க்கும் வழிமுறைகள் - A டூ Z தகவல்கள்",கருப்புப் பூஞ்சை அறிகுறிகள் ஆபத்துகள் தவிர்க்கும் வழிமுறைகள் டூ தகவல்கள்,கருப்புப் பூஞ்சை அறிகுறிகள் ஆபத்துகள் தவிர்க்கும் வழிமுறைகள் டூ தகவல்கள்,கருப்புப் பூஞ்சை அறிகுறி ஆபத்து தவிர்க்கும் வழிமுறை டூ தகவல்,சிறப்புக் களம்,Neutral,https://www.puthiyathalaimurai.com/features/doctor-explain-about-mucormycosis-symptoms-treatment-prevention-causes
"ஒரே ஒரு சிப்ஸ் கேட்ட காதலன்.. கோர்ட் தண்டனை பெறப்போகும் காதலி! ஆஸி.,யில் நடந்த நூதன சண்டை!",ஒரே ஒரு சிப்ஸ் கேட்ட காதலன் கோர்ட் தண்டனை பெறப்போகும் காதலி ஆஸி யில் நடந்த நூதன சண்டை,ஒரே ஒரு சிப்ஸ் கேட்ட காதலன் கோர்ட் தண்டனை பெறப்போகும் காதலி ஆஸி யில் நடந்த நூதன சண்டை,சிப்ஸ் கே காதலன் கோர்ட் தண்டனை பெறப்போகும் காதலி ஆஸி யில் நட நூதன சண்டை,டிரெண்டிங்,Negative,https://www.puthiyathalaimurai.com/trending/woman-accused-of-trying-to-run-down-boyfriend-in-adelaide-faces-court
திருமண வரவேற்பில் கலந்துகொண்ட மும்பை தாதா தாவூத் இப்ராஹிமின் உறவினர் சுட்டுக்கொலை,திருமண வரவேற்பில் கலந்துகொண்ட மும்பை தாதா தாவூத் இப்ராஹிமின் உறவினர் சுட்டுக்கொலை,திருமண வரவேற்பில் கலந்துகொண்ட மும்பை தாதா தாவூத் இப்ராஹிமின் உறவினர் சுட்டுக்கொலை,திருமண வரவேற்பில் கலந்து மும்பை தாதா தாவூத் இப்ராஹிமின் உறவினர் சுட்டுக்கொலை,குற்றம்,Neutral,https://www.puthiyathalaimurai.com/crime/davood-mumbai-ibrahims-relative-was-shot-dead-while-attending-a-wedding-reception-in-mumbai
